,,,,Q_4463,Q_4474,Q_4472,Q_4464,Q_4959,Q_4475,Q_4473,Q_4465,Q_4466,Q_4467,Q_4468,Q_4469,Q_4470,Q_5303,Q_4471,Q_5295,Q_4476,Q_4481,Q_4958,Q_4477,Q_4482,Q_4478,Q_4479,Q_4483,Q_4480,"External ID","Alert Times",Model,OS
"2022-01-18 19:12:19","2022-01-18 19:12:16",idol-pp00v,"Beeped Survey 1",N/A,66.00,N/A,21.00,N/A,N/A,N/A,9,1,N/A,"2,1,3",80.00,N/A,N/A,N/A,2,N/A,2a1eea09-a937-4a3b-9e34-35183285f802,daed1d3a-7093-4f56-8a33-9477b308f855,N/A,dfec442f-4681-45a1-81a0-1366bd642ff4,1,"5,4,3",95f8e161-c6fb-4f65-92e3-64eb07098797,N/A,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-19 07:16:15","2022-01-19 07:16:14",idol-pp00v,"Beeped Survey 1",88.00,15.00,N/A,21.00,N/A,84.00,N/A,5,"6,7",N/A,"5,4,2",88.00,N/A,N/A,N/A,5,N/A,58e6dcad-edd7-4fc3-a0e3-498702b1a9a0,4249b8a3-262e-4e16-b373-51fb9b5e516b,N/A,85a56184-1233-4e55-8e78-0a120803642b,1,"1,5",95f08822-4e8c-4e9e-82cc-152413933656,N/A,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-19 08:22:33","2022-01-19 08:22:33",frug-xl3j7,"Beeped Survey 1",17.42,22.80,2,89.09,N/A,76.77,83.00,6,3,NA,6,19.41,NA,N/A,N/A,6,NA,82DE45D0-8A88-4802-AEDB-7CCF8F07A738,D9CF1836-7193-45BF-AD9B-5D6DBC9D9C76,NA,8C1C6749-87FF-451B-A270-9BD7ADD1DE94,2,N/A,96BCA9C5-D2CE-4793-A6FB-155104DE6CF1,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-19 11:20:11","2022-01-19 11:20:10",fend-6lh42,"Beeped Survey 1",88.00,18.00,N/A,17.00,N/A,75.00,N/A,6,"2,5",N/A,"5,4,3",79.00,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a,N/A,"Mi A2",8.1.0
"2022-01-19 14:22:08","2022-01-19 14:22:08",frug-xl3j7,"Beeped Survey 1",80.74,20.54,2,19.41,N/A,77.20,83.00,6,2,NA,"3,4",22.38,NA,N/A,N/A,6,NA,N/A,E3E2A0A5-3258-4DDB-8E5A-0B8D8E92BF2A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-19 14:22:09","2022-01-19 14:22:08",frug-xl3j7,"Beeped Survey 1",22.38,78.90,5,69.12,N/A,31.73,26.63,6,2,NA,"6,5,4",26.91,NA,N/A,N/A,1,NA,7CAD785A-637B-4B93-BD59-74459F5E85B2,6068118C-E8D6-48B3-B681-3BC5F75D4BD6,NA,0D2301CF-5A14-4034-BCF5-1A4F2438B397,2,N/A,6ED9A448-07A5-4F39-9485-01A347EA398F,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-19 18:40:17","2022-01-19 18:40:16",idol-pp00v,"Beeped Survey 1",24.00,N/A,N/A,75.00,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-19 23:23:38","2022-01-19 23:23:38",hive-xn9tn,"Beeped Survey 1",73.00,86.00,N/A,21.00,N/A,23.00,N/A,8,"5,10",N/A,"10,12",88.00,N/A,N/A,N/A,6,N/A,N/A,279ace0e-6713-4706-8914-6491aaea6494,N/A,N/A,N/A,N/A,N/A,N/A,test,N/A,SM-G950U,9
"2022-01-19 23:23:38","2022-01-18 13:23:26",hive-xn9tn,"Beeped Survey 1",23.00,N/A,N/A,86.00,N/A,N/A,N/A,7,"6,9",N/A,9,55.00,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,test,N/A,SM-G950U,9
"2022-01-19 23:23:39","2022-01-18 13:40:58",hive-xn9tn,"Beeped Survey 1",72.00,N/A,N/A,21.00,N/A,N/A,N/A,5,"5,7",N/A,"3,4",28.00,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,test,N/A,SM-G950U,9
"2022-01-19 23:23:39","2022-01-18 13:54:09",hive-xn9tn,"Beeped Survey 1",78.00,N/A,N/A,86.00,N/A,N/A,N/A,5,"5,4",N/A,6,28.00,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,test,N/A,SM-G950U,9
"2022-01-20 07:12:17","2022-01-20 07:12:15",dawns-h1917,"Beeped Survey 1",78.00,N/A,"3,4,5,6,7,2,1",21.00,N/A,N/A,72.00,9,"2,3,4,5,6,7,8,9,10",N/A,"12,1",27.00,N/A,N/A,N/A,1,N/A,a1a688b3-4e5b-42b3-9a60-a3350e95ebca,92ee1f4a-5684-4d60-a7ae-ae4c515ee920,N/A,15b2c1a9-4746-4ae8-bec0-c44913793c12,2,N/A,db8318b1-efc6-4acf-a529-b5bfa4660554,N/A,MiA2_20Jan2022b,N/A,"Mi A2",8.1.0
"2022-01-20 09:53:11","2022-01-20 09:53:10",dream-v3c9d,"Beeped Survey 1",20.00,26.00,N/A,84.00,N/A,76.00,N/A,6,"2,4",N/A,"6,5,4",21.00,N/A,N/A,N/A,4,N/A,N/A,09e21119-4d4c-4d8f-bd90-522e9e89bf8f,N/A,N/A,N/A,N/A,N/A,N/A,MiA2_20Jan2022,N/A,"Mi A2",8.1.0
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,3,N/A,N/A,N/A,72,N/A,N/A,NA,N/A,N/A,NA,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",63,N/A,3,N/A,N/A,N/A,69,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:52","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:52","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:52","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:52","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-21 12:53:35","2022-01-21 12:53:35",ever-mz39p,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-01-21 12:53:36","2022-01-21 12:15:45",ever-mz39p,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-01-21 12:53:36","2022-01-21 12:32:50",ever-mz39p,"Beeped Survey 1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-01-22 10:58:07","2022-01-22 10:58:06",bevy-qy3l1,"Beeped Survey 1",20.00,29.00,N/A,78.00,N/A,79.00,N/A,7,"3,5",N/A,"4,3",69.00,N/A,N/A,N/A,2,N/A,210bfb3c-7c2f-4e51-8662-f2f843a0eb84,88ff284e-d2b9-401f-9896-9691a9032457,N/A,N/A,N/A,N/A,N/A,N/A,Start22Jan2022_S10e,N/A,SM-G970U,11
"2022-01-24 08:41:55","2022-01-23 10:21:45",bevy-qy3l1,"Beeped Survey 1",9.00,N/A,N/A,100.00,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Start22Jan2022_S10e,N/A,SM-G970U,11
"2022-01-24 11:19:41","2022-01-24 11:19:41",bevy-qy3l1,"Beeped Survey 1",N/A,85.00,N/A,20.00,N/A,23.00,N/A,5,3,N/A,5,17.00,N/A,N/A,N/A,4,N/A,2d9b8c05-394b-4732-9473-0259f90f50d4,1255245a-f368-4ef1-b78e-9974785c388f,N/A,N/A,N/A,N/A,N/A,N/A,Start22Jan2022_S10e,N/A,SM-G970U,11
"2022-01-24 14:08:50","2022-01-24 14:08:50",escar-vi0z3,"Beeped Survey 1",22,88,N/A,82,N/A,17,N/A,6,4,NA,"3,5",20,N/A,NA,N/A,4,NA,00BB916B-6954-4920-9DAC-DBE5179EB565,BB2788D4-0CAC-4EB0-80D6-31FC6B87A58B,NA,50431FED-42C6-40A5-8EB5-5B3838BC2D80,2,N/A,CC08662C-D6E7-4166-8B3C-F2E1211B57BE,N/A,24Jan2022_iOS,"2022-01-24 09:00:00","iPhone11,8","iOS 15.1"
"2022-01-25 06:43:17","2022-01-25 06:43:16",besom-sx3mn,"Beeped Survey 1",32.00,25.00,N/A,84.00,N/A,81.00,N/A,1,"2,9",N/A,4,19.00,N/A,N/A,N/A,3,N/A,f298040a-6bb5-4b4c-ab64-771863e16dc0,8b5d3d16-1f48-448c-a328-19b87a92aef2,N/A,21fe233b-746c-493e-aeb4-86875d83b01d,1,"5,1",19a6b486-e94e-4bcb-961f-bd8eb123ec0e,N/A,24Jan2022-test,N/A,SM-G970U,11
"2022-01-25 08:16:11","2022-01-25 08:16:10",feyer-hf3s4,"Beeped Survey 1",18,80,N/A,86,N/A,22,N/A,2,8,NA,"2,4",28,N/A,NA,N/A,4,NA,C93641BD-447B-45A8-B838-2989A24D7CA6,E6105058-0CB2-4B90-8B91-B1D092DEED3A,NA,B2F9538F-6A79-489D-AE04-E4E043CECCEA,1,"2,3,4",52053608-E2B8-442E-8D77-74F2B074EC6C,N/A,iOS7_24Jan,"2022-01-25 07:18:00","iPhone9,1","iOS 15.2.1"
"2022-01-25 13:59:32","2022-01-25 13:59:31",soba-in7ah,"Beeped Survey 1",0,39,N/A,0,N/A,63,N/A,4,10,NA,"1,7,8,9",27,N/A,NA,N/A,10,NA,2BCE4A8A-D6C3-4CDF-99A7-9ABE996074AF,4970281B-0444-4089-AD87-5A7CA9D8283A,NA,FA5D63B2-BC1D-4042-B0B9-F34F9B70AF0D,1,"1,4",F7509948-4684-4744-B04A-025D70B64D79,N/A,StickyScreenTest,"2022-01-25 13:15:00","iPhone13,3","iOS 15.2.1"
"2022-01-26 07:01:38","2022-01-26 07:01:37",escar-vi0z3,"Beeped Survey 1",0,21,N/A,100,N/A,79,N/A,5,1,NA,"6,1,2",61,N/A,NA,N/A,5,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24Jan2022_iOS,"2022-01-25 08:19:00","iPhone11,8","iOS 15.1"
"2022-01-26 08:29:53","2022-01-26 08:29:52",sumo-1wi4e,"Beeped Survey 1",86.00,77.00,N/A,79.00,N/A,16.00,N/A,7,"4,7",N/A,2,21.00,N/A,N/A,N/A,4,N/A,N/A,1cae730c-6f39-4e61-9766-7d7fbc867fbd,N/A,N/A,N/A,N/A,N/A,N/A,DataUploadTest_25Jan,N/A,SM-G970U,11
"2022-01-26 08:49:23","2022-01-26 08:49:23",feyer-hf3s4,"Beeped Survey 1",89,N/A,1,25,N/A,N/A,69,4,2,NA,3,79,N/A,NA,N/A,1,NA,7CAD5C94-A397-4C7B-B873-831C3B980D27,950A4AD9-EFB7-4827-BE39-36845442BD2C,NA,1177F8D6-24BB-4CB5-9705-3F12F6DDCB10,1,"3,4",D753FD0B-1496-4949-877B-98BDE3EA18C0,N/A,iOS7_24Jan,"2022-01-26 07:26:00","iPhone9,1","iOS 15.2.1"
"2022-01-26 13:03:17","2022-01-26 13:03:17",escar-vi0z3,"Beeped Survey 1",24,68,N/A,86,N/A,23,N/A,2,6,NA,1,82,N/A,NA,N/A,8,NA,7C6F1CD5-0E2B-4003-9D95-F622838148AA,ADCE83B9-FA90-4623-9498-984DF78108B9,N/A,N/A,N/A,N/A,N/A,N/A,24Jan2022_iOS,"2022-01-26 08:35:00","iPhone11,8","iOS 15.1"
"2022-01-26 13:27:11","2022-01-26 08:28:46",limo-f8i9a,"Beeped Survey 1",75.00,18.00,N/A,25.00,N/A,72.00,N/A,5,"4,6",N/A,6,72.00,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mi20_25Jan,N/A,"Mi A2",8.1.0
"2022-01-26 13:36:58","2022-01-26 11:35:18",benny-yq5b5,"Beeped Survey 1",81.00,79.00,N/A,20.00,N/A,17.00,N/A,5,"8,6",N/A,1,75.00,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-26 15:21:31","2022-01-25 09:55:56",para-on4v1,"Beeped Survey 1",80.00,85.00,N/A,37.00,N/A,22.00,N/A,5,"7,8",N/A,"1,2",20.00,N/A,N/A,N/A,5,N/A,d5a00971-640b-4668-8553-09fa5237e5ac,5b799807-a525-4e5f-8e3c-24c19cd395ba,N/A,97a44334-ad46-4765-a12f-13dedcf249c8,N/A,N/A,N/A,N/A,MiA4_25Jan,N/A,"Mi A2",8.1.0
"2022-01-27 09:04:10","2022-01-27 09:04:10",math-yw88g,"Beeped Survey 1",79.00,67.00,N/A,13.00,N/A,26.00,N/A,6,7,N/A,N/A,25.00,N/A,N/A,N/A,4,N/A,N/A,0e555faa-525b-4e12-82f8-c378a2ff37db,N/A,N/A,N/A,N/A,N/A,N/A,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-30 08:41:28","2022-01-30 08:41:27",airer-jc0sm,"Beeped Survey 1",78.00,82.00,N/A,19.00,N/A,3.00,N/A,5,"4,6",N/A,3,19.00,N/A,N/A,N/A,6,N/A,f4564242-53a9-458d-bede-3c6c8773a49b,6789e073-89ae-4166-86af-636c03ec962a,N/A,9833aabf-25f8-4e57-a302-517823ecb26c,2,N/A,f3760bd5-6eee-4b72-8242-c5fd9b6764e9,N/A,29Jan_S10e,N/A,SM-G970U,11
"2022-02-01 08:39:17","2022-02-01 08:39:16",canny-ag2b9,"Beeped Survey 1",77.00,20.00,N/A,21.00,N/A,76.00,N/A,7,8,N/A,5,77.00,N/A,N/A,N/A,4,N/A,6cb8b15a-e329-4c87-88e0-199b03071160,deb89d6b-757b-4ed4-8d3d-59ee0d4fbe04,N/A,3164f3c9-bce9-4ddf-9ae9-f254aad07bfe,2,N/A,1ecb57fd-22c8-4d34-9f8e-d06366823b10,N/A,9999,N/A,SM-G970U,11
"2022-02-02 03:12:07","2022-02-02 03:12:06",batch-77nk2,"Beeped Survey 1",78.00,76.00,N/A,19.00,N/A,25.00,N/A,5,8,N/A,4,19.00,N/A,N/A,N/A,4,N/A,e6b37cae-2122-4804-893b-8505a17035b5,bd5e38ad-ae6a-49ef-9f8e-0f9d90c79643,N/A,9175ff91-1c13-49d3-9282-6d9d7ff2942a,2,N/A,12c24a76-ef45-48ec-b936-4b5056d795e6,N/A,01Feb2022_s10e,N/A,SM-G970U,11
"2022-02-02 11:39:07","2022-02-02 09:39:06",amido-5q6w6,"Beeped Survey 1",43,N/A,6,42,N/A,N/A,59,1,2,NA,"1,3,4",54,N/A,NA,N/A,1,NA,CFE00801-745C-4353-8DDB-D91CDA898848,12DD63B8-16D2-45E6-ABC1-7BC4F9D6E631,NA,441F740E-BEDA-4FD6-BCA6-1D69A7A0590F,2,N/A,1CF42F30-11B0-4B38-A064-66B8E403483E,N/A,00000,N/A,"iPhone11,6","iOS 15.2.1"
"2022-02-02 12:51:13","2022-02-02 09:51:13",dumpy-xw5sz,"Beeped Survey 1",74,N/A,4,78,N/A,N/A,27,4,1,NA,4,70,N/A,NA,N/A,1,NA,1A05E4B5-736C-4E03-84CB-980F1BBCB9D6,F3FBCFC1-C8DC-4876-87BC-D91D2DB632FE,NA,D1B877CC-8E42-4862-B643-4535F089D205,2,N/A,565EC0BB-EAAA-4EDD-82FD-13CA89207EE4,N/A,0013,N/A,"iPhone11,8","iOS 15.2.1"
"2022-02-03 14:44:18","2022-02-03 11:44:17",bank-ly7om,"Beeped Survey 1",35,87,N/A,54,N/A,52,N/A,4,10,NA,"1,4,10,6",54,N/A,NA,N/A,8,NA,74CB9424-322F-487C-8A0E-A2E1532BF6A6,019EB850-221C-4B76-9F7A-1FEA87C1023A,NA,945B24CE-D129-4730-9F65-F04C297CA33E,1,4,1E5B4F6B-204A-4DC2-BC55-CBAAC22E6DC2,N/A,9999_ucr,"2022-02-03 10:53:00","iPhone12,3","iOS 15.2.1"
"2022-02-04 13:09:55","2022-02-04 10:09:54",bank-ly7om,"Beeped Survey 1",43,N/A,7,59,N/A,N/A,67,4,1,NA,"4,10",39,N/A,NA,N/A,1,NA,248258FD-54A1-46FA-AF96-8A368ACD9780,6D036B69-F15F-44EF-9790-A9A0E88E07F0,NA,467D89B6-0103-4794-8FB6-B8B726799089,1,4,50BD2BBF-1EDE-4171-85FC-08CC479528E2,N/A,9999_ucr,"2022-02-04 10:04:00","iPhone12,3","iOS 15.2.1"
"2022-02-04 15:46:36","2022-02-04 11:36:34",cars-n8r51,"Beeped Survey 1",88.00,72.00,N/A,18.00,N/A,N/A,N/A,5,5,N/A,4,78.00,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UploadTest_4Feb2022,N/A,SM-G970U,11
"2022-02-04 15:46:37","2022-02-04 15:45:40",cars-n8r51,"Beeped Survey 1",20.00,23.00,N/A,81.00,N/A,81.00,N/A,5,6,N/A,5,85.00,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UploadTest_4Feb2022,N/A,SM-G970U,11
"2022-02-04 17:17:43","2022-02-04 17:12:51",drank-as4nj,"Beeped Survey 1",76.00,N/A,N/A,26.00,N/A,N/A,N/A,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-06 08:19:15","2022-02-05 08:33:27",drank-as4nj,"Beeped Survey 1",75.00,29.00,N/A,30.00,N/A,30.00,N/A,6,5,N/A,4,73.00,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UploadCheck,N/A,"Mi A2",8.1.0
