,,,,Q_4484,Q_4485,Q_4486,Q_4487,Q_4488,Q_4489,Q_4490,Q_4491,"External ID","Alert Times",Model,OS
"2022-01-27 06:42:05","2022-01-27 06:42:04",sumo-1wi4e,"Waking Survey",N/A,26.00,81.00,23.00,85.00,N/A,50.00,60.00,DataUploadTest_25Jan,N/A,SM-G970U,11
"2022-01-27 08:07:09","2022-01-27 08:07:08",feyer-hf3s4,"Waking Survey",NA,15,86,16,83,NA,16,80,iOS7_24Jan,"2022-01-27 07:00:00","iPhone9,1","iOS 15.2.1"
"2022-01-27 09:04:10","2022-01-27 08:00:18",math-yw88g,"Waking Survey",N/A,76.00,24.00,71.00,N/A,N/A,N/A,N/A,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-27 11:23:14","2022-01-27 11:23:13",benny-yq5b5,"Waking Survey",N/A,50.00,24.00,50.00,77.00,N/A,20.00,76.00,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-28 07:26:12","2022-01-28 07:26:10",benny-yq5b5,"Waking Survey",N/A,86.00,16.00,18.00,85.00,N/A,85.00,84.00,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-28 07:26:45","2022-01-28 07:26:45",math-yw88g,"Waking Survey",N/A,83.00,21.00,75.00,12.00,N/A,80.00,15.00,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-29 08:00:51","2022-01-29 08:00:47",math-yw88g,"Waking Survey",N/A,10.00,85.00,73.00,19.00,N/A,82.00,15.00,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-29 08:01:28","2022-01-29 08:01:27",benny-yq5b5,"Waking Survey",N/A,87.00,15.00,100.00,20.00,N/A,79.00,50.00,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-29 08:04:36","2022-01-29 08:04:36",feyer-hf3s4,"Waking Survey",NA,6,76,18,24,NA,50,74,iOS7_24Jan,"2022-01-29 07:00:00","iPhone9,1","iOS 15.2.1"
"2022-01-30 07:53:29","2022-01-30 07:53:29",feyer-hf3s4,"Waking Survey",NA,76,17,85,81,NA,12,85,iOS7_24Jan,"2022-01-30 07:00:00","iPhone9,1","iOS 15.2.1"
"2022-01-30 08:41:28","2022-01-30 07:04:34",airer-jc0sm,"Waking Survey",N/A,69.00,N/A,N/A,N/A,N/A,N/A,N/A,29Jan_S10e,N/A,SM-G970U,11
"2022-01-31 07:53:40","2022-01-31 07:53:39",airer-jc0sm,"Waking Survey",N/A,17.00,86.00,89.00,25.00,N/A,31.00,37.00,29Jan_S10e,N/A,SM-G970U,11
"2022-02-01 07:20:16","2022-02-01 07:20:16",canny-ag2b9,"Waking Survey",N/A,20.00,85.00,87.00,20.00,N/A,21.00,85.00,9999,N/A,SM-G970U,11
"2022-02-02 11:29:25","2022-02-02 09:29:25",amido-5q6w6,"Waking Survey",NA,36,73,34,44,NA,54,53,00000,"2022-02-02 08:00:00","iPhone11,6","iOS 15.2.1"
"2022-02-02 12:45:36","2022-02-02 09:45:36",dumpy-xw5sz,"Waking Survey",NA,8,64,7,68,NA,29,75,0013,"2022-02-02 08:00:00","iPhone11,8","iOS 15.2.1"
"2022-02-03 12:28:14","2022-02-03 09:28:13",bank-ly7om,"Waking Survey",NA,79,16,52,21,NA,58,59,9999_ucr,"2022-02-03 08:00:00","iPhone12,3","iOS 15.2.1"
"2022-02-04 08:59:42","2022-02-04 08:59:43",cars-n8r51,"Waking Survey",N/A,21.00,84.00,22.00,25.00,N/A,85.00,19.00,UploadTest_4Feb2022,N/A,SM-G970U,11
"2022-02-04 08:59:42","2022-02-04 08:59:08",cars-n8r51,"Waking Survey",N/A,82.00,21.00,25.00,75.00,N/A,25.00,N/A,UploadTest_4Feb2022,N/A,SM-G970U,11
"2022-02-04 12:40:34","2022-02-04 09:40:33",bank-ly7om,"Waking Survey",NA,46,50,72,65,NA,60,61,9999_ucr,"2022-02-04 08:00:00","iPhone12,3","iOS 15.2.1"
"2022-02-04 15:46:36","2022-02-04 15:46:36",cars-n8r51,"Waking Survey",N/A,25.00,77.00,23.00,19.00,N/A,70.00,72.00,UploadTest_4Feb2022,N/A,SM-G970U,11
"2022-02-06 08:19:15","2022-02-06 08:02:03",drank-as4nj,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-06 08:19:15","2022-02-06 08:19:13",drank-as4nj,"Waking Survey",N/A,83.00,N/A,14.00,50.00,N/A,30.00,100.00,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-06 08:24:24","2022-02-06 08:24:24",ephod-cs5i9,"Waking Survey",NA,24,0,N/A,50,NA,80,100,UploadCheck_iOS,"2022-02-06 08:00:00","iPhone11,8","iOS 15.1"
"2022-02-06 09:38:27","2022-02-06 09:38:28",fezzy-w56m0,"Waking Survey",N/A,28.00,30.00,71.00,28.00,N/A,69.00,26.00,S10e_06Feb2022,N/A,SM-G970U,11
"2022-02-08 02:44:19","2022-02-08 08:01:17",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test","2022-02-08 08:00:22",SM-G950U,9
"2022-02-08 02:47:53","2022-02-08 08:10:21",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test","2022-02-08 08:00:22",SM-G950U,9
"2022-02-08 02:48:26","2022-02-08 08:10:58",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 11:25:43","2022-02-08 09:01:49",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test","2022-02-08 09:01:16",SM-G950U,9
"2022-02-08 11:25:44","2022-02-09 08:00:31",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test","2022-02-09 08:00:13",SM-G950U,9
"2022-02-08 11:56:33","2022-02-08 11:56:21",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 12:04:20","2022-02-08 12:04:19",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 15:49:11","2022-02-08 15:49:11",osar-9on4i,"Waking Survey",NA,50,50,50,50,NA,50,50,iOS_Update_08Feb,"2022-02-08 08:00:00","iPhone11,8","iOS 15.1"
"2022-02-09 13:02:00","2022-02-09 10:01:59",bulky-uw0ou,"Waking Survey",NA,21,45,16,31,NA,55,41,9999_ucr,"2022-02-09 10:00:00","iPhone12,1","iOS 14.8.1"
