,,,,Q_4509,Q_4520,Q_4518,Q_4510,Q_4521,Q_4519,Q_4511,Q_4512,Q_4513,Q_4514,Q_4515,Q_4516,Q_5304,Q_5294,Q_4517,Q_4522,Q_4523,Q_4993,Q_4524,Q_4525,Q_4526,Q_4527,Q_4528,Q_4529,"External ID","Alert Times",Model,OS
"2022-01-19 18:41:18","2022-01-19 18:41:18",idol-pp00v,"Beeped Survey 2",17.00,N/A,N/A,85.00,N/A,N/A,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-20 10:01:23","2022-01-20 10:01:23",frug-xl3j7,"Beeped Survey 2",82.15,N/A,N/A,16.57,N/A,N/A,6,4,NA,6,80.74,NA,N/A,5,N/A,N/A,D50EB15E-136D-4F83-BF7E-52CF03892BC7,571F7095-B261-4E71-A003-5ED4D5843B6B,7C556169-E418-40F8-BAAB-D21E18B27BD2,847DAAAD-FEB0-45B0-9D8E-73DF4623D6CE,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,"Beeped Survey 2",90.79,N/A,N/A,20.25,N/A,N/A,4,"2,3,4,5,6,7,8,9,10",NA,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-20 13:21:18","2022-01-20 13:21:18",clary-sp0jp,"Beeped Survey 2",71,70,1,72,68,68,1,1,NA,1,65,NA,N/A,N/A,1,NA,N/A,9301A443-1AAB-4227-9A11-755F31C7B394,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,NA,N/A,6BC6BFFD-93FA-489C-93F1-D4A70FCAF7C0,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",71,70,1,72,68,68,1,1,NA,1,65,NA,N/A,N/A,1,NA,N/A,9301A443-1AAB-4227-9A11-755F31C7B394,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,NA,F0F93FA7-362F-43E3-9B90-5960A8F89162,255D19F3-8F8F-4C39-A063-4AD565FDD792,CFFD1194-5F1B-44EE-AC10-6D9F94D7C3CB,C64AE704-B1BB-40AB-9CF1-3C1591FED71B,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2,67,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 15:21:11","2022-01-20 15:21:10",fend-6lh42,"Beeped Survey 2",82.00,N/A,N/A,16.00,N/A,N/A,5,"7,5",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a,N/A,"Mi A2",8.1.0
"2022-01-20 21:01:11","2022-01-20 11:27:37",along-p98t6,"Beeped Survey 2",19.00,17.00,N/A,76.00,81.00,N/A,5,"8,5",N/A,"4,3",78.00,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S10e_20Jan2022,N/A,SM-G970U,11
"2022-01-22 16:43:46","2022-01-22 16:43:44",bevy-qy3l1,"Beeped Survey 2",18.00,82.00,N/A,86.00,20.00,N/A,6,"4,5",N/A,"4,5,7,6",21.00,N/A,N/A,4,N/A,N/A,45283afa-4472-4137-a732-35e33de47831,b2508837-71cc-4b0c-8352-5995d7ce98ed,72019270-e966-4ecb-90ca-55665b377b4a,N/A,N/A,N/A,N/A,N/A,Start22Jan2022_S10e,N/A,SM-G970U,11
"2022-01-24 18:55:57","2022-01-24 18:55:56",soba-in7ah,"Beeped Survey 2",22,N/A,4,90,N/A,N/A,5,4,NA,1,20,N/A,NA,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,StickyScreenTest,"2022-01-24 17:51:06","iPhone13,3","iOS 15.2.1"
"2022-01-25 13:20:44","2022-01-25 13:20:43",feyer-hf3s4,"Beeped Survey 2",20,24,N/A,85,N/A,N/A,4,1,NA,2,76,N/A,NA,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,iOS7_24Jan,N/A,"iPhone9,1","iOS 15.2.1"
"2022-01-25 13:20:44","2022-01-25 13:20:43",feyer-hf3s4,"Beeped Survey 2",79,82,N/A,16,9,N/A,4,3,NA,4,75,N/A,NA,4,N/A,NA,5398EDBC-3AA5-4CD7-A876-EF4BE348698D,B720EF70-BB98-4079-B801-9ED17E79FB91,808BDD67-981E-4B0B-8E46-97409991FB28,EF02743C-F4B2-45AB-B303-C0C94541313E,NA,1,4,N/A,iOS7_24Jan,"2022-01-25 12:35:00","iPhone9,1","iOS 15.2.1"
"2022-01-26 07:01:38","2022-01-26 07:01:37",escar-vi0z3,"Beeped Survey 2",8,77,N/A,87,22,N/A,6,"2,5",NA,5,10,N/A,NA,4,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24Jan2022_iOS,"2022-01-25 12:58:00","iPhone11,8","iOS 15.1"
"2022-01-26 13:03:17","2022-01-26 13:03:17",escar-vi0z3,"Beeped Survey 2",25,16,N/A,78,75,N/A,6,2,NA,5,80,N/A,NA,6,N/A,NA,N/A,A6C59874-C71E-4559-9284-AA1E214B5A57,N/A,N/A,N/A,N/A,N/A,N/A,24Jan2022_iOS,"2022-01-26 12:20:00","iPhone11,8","iOS 15.1"
"2022-01-26 13:03:17","2022-01-26 13:03:17",escar-vi0z3,"Beeped Survey 2",22,N/A,N/A,80,N/A,N/A,4,3,NA,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24Jan2022_iOS,N/A,"iPhone11,8","iOS 15.1"
"2022-01-26 13:03:17","2022-01-26 13:03:17",escar-vi0z3,"Beeped Survey 2",16,79,N/A,80,N/A,N/A,4,"4,7",NA,"2,4",21,N/A,NA,4,N/A,NA,A77A112D-54E5-4D7A-B4F6-73B1D6EBFC61,6622193E-F0F8-41C6-9289-563A2B2F63E1,F86555D4-9AA2-4E35-ACCE-8C91F010E425,041C237F-55EE-4490-A83F-CD89AF5BFDD2,NA,2,N/A,N/A,24Jan2022_iOS,"2022-01-26 12:24:00","iPhone11,8","iOS 15.1"
"2022-01-26 13:27:10","2022-01-26 13:27:08",limo-f8i9a,"Beeped Survey 2",85.00,69.00,N/A,11.00,25.00,N/A,5,"2,6",N/A,"2,1",100.00,N/A,N/A,4,N/A,N/A,54261f43-a2b3-438c-a6fa-44a2cf80753d,a489efd4-aa3b-4e2a-a08f-7f5dbb1cf491,N/A,N/A,N/A,N/A,N/A,N/A,Mi20_25Jan,N/A,"Mi A2",8.1.0
"2022-01-26 13:45:39","2022-01-26 13:00:08",sumo-1wi4e,"Beeped Survey 2",24.00,14.00,N/A,50.00,66.00,N/A,4,"8,4",N/A,"2,1",81.00,N/A,N/A,4,N/A,N/A,a26625cc-707b-4b8e-bae5-de4914eb02fa,c9cdf372-9278-4e80-ab4e-c144b2bb5bbb,4b0bb818-2b71-47d3-9c35-f99996f1d69e,fbdf8ebe-709a-4b7f-8ef5-53eb18bf7c25,N/A,N/A,N/A,N/A,DataUploadTest_25Jan,N/A,SM-G970U,11
"2022-01-26 17:52:00","2022-01-26 17:48:19",benny-yq5b5,"Beeped Survey 2",22.00,28.00,N/A,82.00,82.00,N/A,4,"7,4",N/A,"3,5",80.00,N/A,N/A,4,N/A,N/A,N/A,5dcf6af2-d64d-4278-9516-5396ee67979d,N/A,N/A,N/A,N/A,N/A,N/A,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-27 08:07:09","2022-01-27 08:07:08",feyer-hf3s4,"Beeped Survey 2",22,85,N/A,83,17,N/A,4,1,NA,3,19,N/A,NA,4,N/A,NA,40847059-2347-446D-9FE3-2B7E8892D7B5,2D3C0A62-014D-4CEE-BE23-9DCE87CA461B,FF516CBE-ED56-4013-8D4C-9D95329A17A0,F96CD39D-F47D-4B7D-AA8C-C50CA969BC1E,NA,N/A,N/A,N/A,iOS7_24Jan,"2022-01-26 12:11:00","iPhone9,1","iOS 15.2.1"
"2022-01-28 07:27:21","2022-01-28 07:27:21",feyer-hf3s4,"Beeped Survey 2",18,11,N/A,72,79,N/A,4,4,NA,3,77,N/A,NA,4,N/A,NA,9E766A81-BF61-4D70-AE0D-7C69D6182978,CFFFB107-12D5-419C-B2FC-F81A4168EBF0,BD4BDF79-10F1-4576-9292-187F283AC59E,DD65DD91-568C-4353-8621-3C61AC9B7FBC,NA,2,N/A,N/A,iOS7_24Jan,"2022-01-27 13:11:00","iPhone9,1","iOS 15.2.1"
"2022-01-28 14:07:41","2022-01-28 14:06:51",math-yw88g,"Beeped Survey 2",76.00,25.00,N/A,28.00,74.00,N/A,6,4,N/A,4,74.00,N/A,N/A,5,N/A,N/A,N/A,bfca56da-652b-496b-9b4c-c255b0196dbf,N/A,N/A,N/A,N/A,N/A,N/A,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-31 07:53:40","2022-01-30 12:33:34",airer-jc0sm,"Beeped Survey 2",26.00,27.00,N/A,79.00,71.00,N/A,5,"8,3",N/A,1,84.00,N/A,N/A,5,N/A,N/A,N/A,47dde38e-67aa-47d4-882f-c1de24e7f761,N/A,N/A,N/A,N/A,N/A,N/A,29Jan_S10e,N/A,SM-G970U,11
"2022-02-02 03:15:41","2022-02-02 03:15:40",batch-77nk2,"Beeped Survey 2",74.00,20.00,N/A,22.00,75.00,N/A,4,"7,4",N/A,4,79.00,N/A,N/A,4,N/A,N/A,dbbe64bf-219b-4450-bec9-8c44c0a78e42,0aa70785-c476-406c-8c92-79cc6bedbe60,1df8a91a-d629-4a06-9091-e48af47abf89,671051ac-71a2-43bf-86dc-65d75e597d30,N/A,1,"5,4,2",N/A,01Feb2022_s10e,N/A,SM-G970U,11
"2022-02-02 12:53:09","2022-02-02 09:53:08",dumpy-xw5sz,"Beeped Survey 2",80,N/A,4,79,N/A,20,4,1,NA,4,74,N/A,NA,1,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0013,N/A,"iPhone11,8","iOS 15.2.1"
"2022-02-03 18:26:56","2022-02-03 15:26:55",bank-ly7om,"Beeped Survey 2",39,N/A,6,64,N/A,64,4,1,NA,"9,4",72,N/A,NA,1,N/A,NA,E98B510F-8477-41AA-A07E-3C2669E117D9,6111292D-F1D9-4F93-8305-0EE4A49F4E4B,CEDEE592-5510-4D0C-B1E3-46F038ABEEB1,D7D8E1B8-4B6A-4E35-9DE9-06806428A8EB,NA,2,N/A,N/A,9999_ucr,"2022-02-03 15:01:00","iPhone12,3","iOS 15.2.1"
"2022-02-04 15:46:37","2022-02-04 15:44:38",cars-n8r51,"Beeped Survey 2",79.00,72.00,N/A,23.00,23.00,N/A,7,6,N/A,4,78.00,N/A,N/A,5,N/A,N/A,N/A,3309546a-750f-4622-83c7-0200d60f4cab,N/A,N/A,N/A,N/A,N/A,N/A,UploadTest_4Feb2022,N/A,SM-G970U,11
"2022-02-04 17:17:43","2022-02-04 17:13:28",drank-as4nj,"Beeped Survey 2",24.00,N/A,N/A,78.00,N/A,N/A,5,"2,6",N/A,4,21.00,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-06 11:40:42","2022-02-06 11:40:42",ephod-cs5i9,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,NA,N/A,N/A,NA,1DBC8A57-5113-47FC-B69A-DB6A188A3B3A,8B2B40A0-9AD9-4027-87FC-F43F5023D574,AB479252-0166-4478-A6C7-AEE829C8C1D6,0AA0A01D-62BA-4ED4-860E-0E5276CBAFE8,NA,N/A,N/A,N/A,UploadCheck_iOS,N/A,"iPhone11,8","iOS 15.1"
"2022-02-06 11:46:20","2022-02-06 11:46:19",ephod-cs5i9,"Beeped Survey 2",21,N/A,N/A,85,N/A,N/A,N/A,N/A,NA,N/A,16,N/A,NA,N/A,N/A,NA,E1E66F13-D16F-407F-A43C-5A8A5F0F49F8,C28AF4BD-141A-46E5-A27A-A705C038530C,FDA98C83-F612-4BD1-A909-FAF9FB31231F,B57B4F78-267F-49F3-B7A9-253F20851734,NA,N/A,N/A,N/A,UploadCheck_iOS,N/A,"iPhone11,8","iOS 15.1"
"2022-02-06 12:56:32","2022-02-06 12:56:31",fezzy-w56m0,"Beeped Survey 2",18.00,81.00,N/A,76.00,20.00,N/A,3,"6,5,7,8,4,3,2,9,10",N/A,"6,12,3",24.00,N/A,N/A,3,N/A,N/A,347cc307-1fdf-4bc4-a044-b685e4e66431,e55dc419-3a8c-4263-bd43-0821c26777c4,e5f8bee4-7b5e-497d-9b14-9a6bbcb92a92,59140b3e-ba3e-467d-977f-bbc0d9c18a26,N/A,1,"4,5,3,1,2",N/A,S10e_06Feb2022,N/A,SM-G970U,11
"2022-02-06 13:19:54","2022-02-06 13:19:54",ephod-cs5i9,"Beeped Survey 2",19,28,N/A,76,74,N/A,4,3,NA,"3,4",35,N/A,NA,3,N/A,NA,1BC7DE82-593C-4B82-878D-2DDC6CC4E11F,B1AFCC79-6513-4CDD-B291-5B0322770B55,DB194092-8A2A-49F5-BD29-5AD648CC23B9,ADE5C611-9D70-475C-868D-F22C5DD84730,NA,1,5,N/A,UploadCheck_iOS,"2022-02-06 13:02:00","iPhone11,8","iOS 15.1"
"2022-02-06 13:28:39","2022-02-06 13:28:37",drank-as4nj,"Beeped Survey 2",0.00,100.00,N/A,100.00,0.00,N/A,1,10,N/A,1,0.00,N/A,N/A,10,N/A,N/A,4afa66be-6953-4c91-961f-000d7bfa3e16,ad260d30-5dd5-4f60-9859-a356d50e6e5b,e973e71e-6504-4a58-9e90-0d58b6cfe6ad,9dac47f7-6c58-4e18-b0a5-adb77b83099d,N/A,2,N/A,N/A,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-07 11:09:31","2022-02-07 14:34:26",allee-vc51p,"Beeped Survey 2",69.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 11:30:56","2022-02-08 11:30:56",allee-vc51p,"Beeped Survey 2",56.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 11:31:27","2022-02-08 11:31:26",allee-vc51p,"Beeped Survey 2",62.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 11:32:06","2022-02-08 11:32:05",allee-vc51p,"Beeped Survey 2",32.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 11:59:41","2022-02-08 11:59:40",allee-vc51p,"Beeped Survey 2",55.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 12:01:23","2022-02-08 15:47:43",allee-vc51p,"Beeped Survey 2",45.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test","2022-02-08 15:47:20",SM-G950U,9
"2022-02-08 16:51:22","2022-02-08 16:51:21",osar-9on4i,"Beeped Survey 2",16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,iOS_Update_08Feb,"2022-02-08 15:56:12","iPhone11,8","iOS 15.1"
