,,,,Q_4983,"External ID","Alert Times",Model,OS
"2022-01-21 18:28:40","2022-01-21 18:28:40",crude-wa7is,"Intake Survey",240,MiA2_21Jan2022_#6,N/A,"Mi A2",8.1.0
"2022-01-21 18:30:42","2022-01-21 18:30:43",fonds-wy8r1,"Intake Survey",600,MiA4_21Jan2022_#4,N/A,"Mi A2",8.1.0
"2022-01-21 18:40:44","2022-01-21 18:40:43",hast-tz4fm,"Intake Survey",420,Start22Jan2022,N/A,SM-G970U,11
"2022-01-21 18:44:00","2022-01-21 18:43:59",dodgy-mq82w,"Intake Survey",360,22Jan2022iOS,N/A,N/A,N/A
"2022-01-21 18:45:17","2022-01-21 18:45:17",hast-tz4fm,"Intake Survey",420,Start22Jan2022,N/A,SM-G970U,11
"2022-01-21 18:53:17","2022-01-21 18:53:18",lobo-at8n4,"Intake Survey",540,MiA2_22Jan2022_4,N/A,"Mi A2",8.1.0
"2022-01-22 09:08:36","2022-01-22 09:08:36",bevy-qy3l1,"Intake Survey",420,Start22Jan2022_S10e,N/A,SM-G970U,11
"2022-01-23 21:22:35","2022-01-23 21:22:35",escar-vi0z3,"Intake Survey",300,24Jan2022_iOS,N/A,"iPhone11,8","iOS 15.1"
"2022-01-24 11:23:19","2022-01-24 11:23:19",besom-sx3mn,"Intake Survey",240,24Jan2022-test,N/A,SM-G970U,11
"2022-01-24 16:07:34","2022-01-24 16:07:32",feyer-hf3s4,"Intake Survey",300,iOS7_24Jan,N/A,"iPhone9,1","iOS 15.2.1"
"2022-01-24 17:43:46","2022-01-24 17:43:46",ares-o6g3x,"Intake Survey",600,iPhone12Pro,N/A,"iPhone13,3","iOS 15.2.1"
"2022-01-24 17:55:41","2022-01-24 17:55:43",roms-cr4x1,"Intake Survey",600,MiA2_24Jan,N/A,"Mi A2",8.1.0
"2022-01-24 18:55:57","2022-01-24 18:55:56",soba-in7ah,"Intake Survey",600,StickyScreenTest,N/A,"iPhone13,3","iOS 15.2.1"
"2022-01-25 08:02:38","2022-01-25 08:02:38",para-on4v1,"Intake Survey",360,MiA4_25Jan,N/A,"Mi A2",8.1.0
"2022-01-25 13:12:21","2022-01-25 13:12:21",reap-hk0yc,"Intake Survey",420,Jen_25Jan2022,N/A,"iPhone13,4","iOS 15.1.1"
"2022-01-25 18:37:52","2022-01-25 18:37:52",sumo-1wi4e,"Intake Survey",300,DataUploadTest_25Jan,N/A,SM-G970U,11
"2022-01-25 19:24:22","2022-01-25 19:24:21",limo-f8i9a,"Intake Survey",300,Mi20_25Jan,N/A,"Mi A2",8.1.0
"2022-01-25 19:25:25","2022-01-25 19:25:25",benny-yq5b5,"Intake Survey",540,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-26 15:34:55","2022-01-26 15:34:56",math-yw88g,"Intake Survey",300,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-29 16:12:33","2022-01-29 16:12:34",airer-jc0sm,"Intake Survey",300,29Jan_S10e,N/A,SM-G970U,11
"2022-01-31 18:34:10","2022-01-31 18:34:10",canny-ag2b9,"Intake Survey",300,9999,N/A,SM-G970U,11
"2022-02-01 21:36:08","2022-02-01 21:36:09",batch-77nk2,"Intake Survey",360,01Feb2022_s10e,N/A,SM-G970U,11
"2022-02-02 13:58:34","2022-02-02 10:58:34",dumpy-xw5sz,"Intake Survey",360,0013,N/A,"iPhone11,8","iOS 15.2.1"
"2022-02-04 08:58:50","2022-02-04 08:58:50",cars-n8r51,"Intake Survey",420,UploadTest_4Feb2022,N/A,SM-G970U,11
"2022-02-04 17:12:26","2022-02-04 17:12:25",drank-as4nj,"Intake Survey",300,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-04 20:19:25","2022-02-04 17:19:24",bank-ly7om,"Intake Survey",360,9999_ucr,N/A,"iPhone12,3","iOS 15.2.1"
"2022-02-04 21:24:04","2022-02-04 18:24:03",bank-ly7om,"Intake Survey",420,9999_ucr,N/A,"iPhone12,3","iOS 15.2.1"
"2022-02-06 08:27:16","2022-02-06 08:27:16",ephod-cs5i9,"Intake Survey",300,UploadCheck_iOS,N/A,"iPhone11,8","iOS 15.1"
"2022-02-06 09:38:08","2022-02-06 09:38:08",fezzy-w56m0,"Intake Survey",300,S10e_06Feb2022,N/A,SM-G970U,11
"2022-02-08 23:24:06","2022-02-08 20:24:06",bulky-uw0ou,"Intake Survey",480,9999_ucr,N/A,"iPhone12,1","iOS 14.8.1"
