,,,Q_4509,Q_4520,Q_4518,Q_4510,Q_4521,Q_4519,Q_4511,Q_4512,Q_4513,Q_4514,Q_4515,Q_4516,Q_5304,Q_5294,Q_4517,Q_4522,Q_4523,Q_4993,Q_4524,Q_4525,Q_4526,Q_4527,Q_4528,Q_4529,"External ID"
"2022-01-19 18:41:18","2022-01-19 18:41:18",idol-pp00v,17.00,N/A,N/A,85.00,N/A,N/A,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Android_18Jan2022
"2022-01-20 10:01:23","2022-01-20 10:01:23",frug-xl3j7,82.15,N/A,N/A,16.57,N/A,N/A,6,4,NA,6,80.74,NA,N/A,5,N/A,N/A,D50EB15E-136D-4F83-BF7E-52CF03892BC7,571F7095-B261-4E71-A003-5ED4D5843B6B,7C556169-E418-40F8-BAAB-D21E18B27BD2,847DAAAD-FEB0-45B0-9D8E-73DF4623D6CE,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,90.79,N/A,N/A,20.25,N/A,N/A,4,"2,3,4,5,6,7,8,9,10",NA,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-20 13:21:18","2022-01-20 13:21:18",clary-sp0jp,71,70,1,72,68,68,1,1,NA,1,65,NA,N/A,N/A,1,NA,N/A,9301A443-1AAB-4227-9A11-755F31C7B394,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,71,70,1,72,68,68,1,1,NA,1,65,NA,N/A,N/A,1,NA,N/A,9301A443-1AAB-4227-9A11-755F31C7B394,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,NA,F0F93FA7-362F-43E3-9B90-5960A8F89162,255D19F3-8F8F-4C39-A063-4AD565FDD792,CFFD1194-5F1B-44EE-AC10-6D9F94D7C3CB,C64AE704-B1BB-40AB-9CF1-3C1591FED71B,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2,67,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,NA,N/A,6BC6BFFD-93FA-489C-93F1-D4A70FCAF7C0,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 15:21:11","2022-01-20 15:21:10",fend-6lh42,82.00,N/A,N/A,16.00,N/A,N/A,5,"7,5",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a
"2022-01-20 21:01:11","2022-01-20 11:27:37",along-p98t6,19.00,17.00,N/A,76.00,81.00,N/A,5,"8,5",N/A,"4,3",78.00,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S10e_20Jan2022
"2022-01-22 16:43:46","2022-01-22 16:43:44",bevy-qy3l1,18.00,82.00,N/A,86.00,20.00,N/A,6,"4,5",N/A,"4,5,7,6",21.00,N/A,N/A,4,N/A,N/A,45283afa-4472-4137-a732-35e33de47831,b2508837-71cc-4b0c-8352-5995d7ce98ed,72019270-e966-4ecb-90ca-55665b377b4a,N/A,N/A,N/A,N/A,N/A,Start22Jan2022_S10e
