,,,Q_4463,Q_4474,Q_4472,Q_4464,Q_4959,Q_4475,Q_4473,Q_4465,Q_4466,Q_4467,Q_4468,Q_4469,Q_4470,Q_5303,Q_4471,Q_5295,Q_4476,Q_4481,Q_4958,Q_4477,Q_4482,Q_4478,Q_4479,Q_4483,Q_4480,"External ID"
"2022-01-18 19:12:19","2022-01-18 19:12:16",idol-pp00v,N/A,66.00,N/A,21.00,N/A,N/A,N/A,9,1,N/A,"2,1,3",80.00,N/A,N/A,N/A,2,N/A,2a1eea09-a937-4a3b-9e34-35183285f802,daed1d3a-7093-4f56-8a33-9477b308f855,N/A,dfec442f-4681-45a1-81a0-1366bd642ff4,1,"5,4,3",95f8e161-c6fb-4f65-92e3-64eb07098797,N/A,Android_18Jan2022
"2022-01-19 07:16:15","2022-01-19 07:16:14",idol-pp00v,88.00,15.00,N/A,21.00,N/A,84.00,N/A,5,"6,7",N/A,"5,4,2",88.00,N/A,N/A,N/A,5,N/A,58e6dcad-edd7-4fc3-a0e3-498702b1a9a0,4249b8a3-262e-4e16-b373-51fb9b5e516b,N/A,85a56184-1233-4e55-8e78-0a120803642b,1,"1,5",95f08822-4e8c-4e9e-82cc-152413933656,N/A,Android_18Jan2022
"2022-01-19 08:22:33","2022-01-19 08:22:33",frug-xl3j7,17.42,22.80,2,89.09,N/A,76.77,83.00,6,3,NA,6,19.41,NA,N/A,N/A,6,NA,82DE45D0-8A88-4802-AEDB-7CCF8F07A738,D9CF1836-7193-45BF-AD9B-5D6DBC9D9C76,NA,8C1C6749-87FF-451B-A270-9BD7ADD1DE94,2,N/A,96BCA9C5-D2CE-4793-A6FB-155104DE6CF1,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-19 11:20:11","2022-01-19 11:20:10",fend-6lh42,88.00,18.00,N/A,17.00,N/A,75.00,N/A,6,"2,5",N/A,"5,4,3",79.00,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a
"2022-01-19 14:22:08","2022-01-19 14:22:08",frug-xl3j7,80.74,20.54,2,19.41,N/A,77.20,83.00,6,2,NA,"3,4",22.38,NA,N/A,N/A,6,NA,N/A,E3E2A0A5-3258-4DDB-8E5A-0B8D8E92BF2A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-19 14:22:09","2022-01-19 14:22:08",frug-xl3j7,22.38,78.90,5,69.12,N/A,31.73,26.63,6,2,NA,"6,5,4",26.91,NA,N/A,N/A,1,NA,7CAD785A-637B-4B93-BD59-74459F5E85B2,6068118C-E8D6-48B3-B681-3BC5F75D4BD6,NA,0D2301CF-5A14-4034-BCF5-1A4F2438B397,2,N/A,6ED9A448-07A5-4F39-9485-01A347EA398F,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-19 18:40:17","2022-01-19 18:40:16",idol-pp00v,24.00,N/A,N/A,75.00,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Android_18Jan2022
"2022-01-19 23:23:38","2022-01-18 13:23:26",hive-xn9tn,23.00,N/A,N/A,86.00,N/A,N/A,N/A,7,"6,9",N/A,9,55.00,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,test
"2022-01-19 23:23:38","2022-01-19 23:23:38",hive-xn9tn,73.00,86.00,N/A,21.00,N/A,23.00,N/A,8,"5,10",N/A,"10,12",88.00,N/A,N/A,N/A,6,N/A,N/A,279ace0e-6713-4706-8914-6491aaea6494,N/A,N/A,N/A,N/A,N/A,N/A,test
"2022-01-19 23:23:39","2022-01-18 13:40:58",hive-xn9tn,72.00,N/A,N/A,21.00,N/A,N/A,N/A,5,"5,7",N/A,"3,4",28.00,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,test
"2022-01-19 23:23:39","2022-01-18 13:54:09",hive-xn9tn,78.00,N/A,N/A,86.00,N/A,N/A,N/A,5,"5,4",N/A,6,28.00,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,test
"2022-01-20 07:12:17","2022-01-20 07:12:15",dawns-h1917,78.00,N/A,"3,4,5,6,7,2,1",21.00,N/A,N/A,72.00,9,"2,3,4,5,6,7,8,9,10",N/A,"12,1",27.00,N/A,N/A,N/A,1,N/A,a1a688b3-4e5b-42b3-9a60-a3350e95ebca,92ee1f4a-5684-4d60-a7ae-ae4c515ee920,N/A,15b2c1a9-4746-4ae8-bec0-c44913793c12,2,N/A,db8318b1-efc6-4acf-a529-b5bfa4660554,N/A,MiA2_20Jan2022b
"2022-01-20 09:53:11","2022-01-20 09:53:10",dream-v3c9d,20.00,26.00,N/A,84.00,N/A,76.00,N/A,6,"2,4",N/A,"6,5,4",21.00,N/A,N/A,N/A,4,N/A,N/A,09e21119-4d4c-4d8f-bd90-522e9e89bf8f,N/A,N/A,N/A,N/A,N/A,N/A,MiA2_20Jan2022
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,3,N/A,N/A,N/A,72,N/A,N/A,NA,N/A,N/A,NA,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,63,N/A,3,N/A,N/A,N/A,69,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:52","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:52","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:52","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:52","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-21 12:53:35","2022-01-21 12:53:35",ever-mz39p,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2022-01-21 12:53:36","2022-01-21 12:15:45",ever-mz39p,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2022-01-21 12:53:36","2022-01-21 12:32:50",ever-mz39p,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2022-01-22 10:58:07","2022-01-22 10:58:06",bevy-qy3l1,20.00,29.00,N/A,78.00,N/A,79.00,N/A,7,"3,5",N/A,"4,3",69.00,N/A,N/A,N/A,2,N/A,210bfb3c-7c2f-4e51-8662-f2f843a0eb84,88ff284e-d2b9-401f-9896-9691a9032457,N/A,N/A,N/A,N/A,N/A,N/A,Start22Jan2022_S10e
"2022-01-24 08:41:55","2022-01-23 10:21:45",bevy-qy3l1,9.00,N/A,N/A,100.00,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Start22Jan2022_S10e
