,,,Q_4484,Q_4485,Q_4486,Q_4487,Q_4488,Q_4489,Q_4490,Q_4491,"External ID"
"2021-12-06 16:12:59","2021-12-06 16:12:57",norm-sv3iv,N/A,N/A,N/A,N/A,65.00,N/A,N/A,71.00,N/A
"2021-12-06 17:18:16","2021-12-06 17:18:15",boxla-0r7z9,NA,70.68,69.83,66.57,74.36,NA,74.08,72.38,j
"2021-12-15 12:00:55","2021-12-15 12:00:54",char-w1s9d,NA,78.27,78.11,69.45,73.07,NA,20.94,70.71,"iOS_15Nov2021, iOS_19Jan2022"
"2021-12-15 12:00:55","2021-12-15 12:00:54",devon-m7k3r,N/A,28.00,67.00,68.00,75.00,N/A,75.00,28.00,Android_15Nov2021
"2021-12-16 11:41:37","2021-12-16 06:41:12",eths-wz1zp,N/A,89.00,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2022-01-03 07:51:51","2022-01-03 07:51:51",culls-mv5st,N/A,37.00,65.00,33.00,35.00,N/A,73.00,27.00,9999_Android_2022
"2022-01-03 07:51:51","2022-01-03 07:51:51",site-2ox1f,NA,26.49,72.80,25.50,30.17,NA,68.70,27.05,9999_iOS_2022
"2022-01-03 09:39:15","2022-01-03 09:39:16",cairn-60bm0,N/A,N/A,64.00,76.00,82.00,N/A,80.00,84.00,9090
"2022-01-04 09:04:24","2022-01-04 09:04:23",found-s1i5l,N/A,26.00,84.00,21.00,23.00,N/A,22.00,80.00,testing2022
"2022-01-06 15:26:36","2022-01-06 15:26:34",hull-u76j7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2022-01-08 08:15:47","2022-01-08 08:15:46",found-711jx,N/A,22.00,84.00,26.00,77.00,N/A,22.00,75.00,08Jan2022
"2022-01-08 08:24:51","2022-01-08 08:24:51",cant-jt1w4,NA,81.30,73.65,28.61,76.06,NA,72.80,23.80,"iOSTest_2022_Jan, 08Jan2022, 09Jan2022iOS"
"2022-01-09 11:10:43","2022-01-09 11:10:43",cant-jt1w4,NA,79.18,27.90,82.44,26.20,NA,21.81,82.29,"iOSTest_2022_Jan, 08Jan2022, 09Jan2022iOS"
"2022-01-10 08:22:15","2022-01-10 08:22:15",cant-jt1w4,NA,87.11,22.38,84.42,9.35,NA,84.14,97.88,"iOSTest_2022_Jan, 08Jan2022, 09Jan2022iOS"
"2022-01-10 08:22:33","2022-01-10 08:22:32",gawp-51hl2,N/A,20.00,87.00,22.00,26.00,N/A,85.00,20.00,09Jan2022Android
"2022-01-11 06:58:14","2022-01-11 06:58:14",cant-jt1w4,NA,16.01,85.98,14.87,80.45,NA,16.57,84.70,"iOSTest_2022_Jan, 08Jan2022, 09Jan2022iOS"
"2022-01-11 08:06:47","2022-01-11 08:06:46",gawp-51hl2,N/A,86.00,16.00,90.00,21.00,N/A,85.00,22.00,09Jan2022Android
"2022-01-11 08:34:29","2022-01-11 08:34:29",para-a3h2l,NA,88.95,22.66,81.02,21.53,NA,79.32,22.80,"iOS_01Jan2022_a, iOS_01Jan2022_b, iOS_01Jan2022_c"
"2022-01-11 08:42:07","2022-01-11 08:42:07",para-a3h2l,NA,77.34,20.11,82.29,79.89,NA,24.79,22.10,"iOS_01Jan2022_a, iOS_01Jan2022_b, iOS_01Jan2022_c"
"2022-01-11 08:58:20","2022-01-11 08:58:20",para-a3h2l,NA,91.22,22.38,83.71,18.41,NA,79.46,23.51,"iOS_01Jan2022_a, iOS_01Jan2022_b, iOS_01Jan2022_c"
"2022-01-11 09:08:07","2022-01-11 09:08:07",arles-xm8su,NA,89.24,17.56,70.40,22.66,NA,72.10,20.40,iOS_Jan11_new
"2022-01-11 09:10:53","2022-01-11 09:10:53",devil-8jf9q,NA,83.71,20.96,50.28,23.37,NA,78.19,N/A,"iOS_Jan11_new, NEW2022"
"2022-01-11 09:13:27","2022-01-11 09:13:27",devil-8jf9q,NA,27.76,N/A,N/A,21.53,NA,50.00,78.19,"iOS_Jan11_new, NEW2022"
"2022-01-11 09:21:36","2022-01-11 09:21:36",cogs-ep5np,NA,87.68,22.24,79.46,22.24,NA,50.00,81.59,GetNewID_advanced
"2022-01-11 09:35:46","2022-01-11 09:35:46",cogs-ep5np,NA,78.05,21.10,76.49,27.34,NA,77.34,26.91,GetNewID_advanced
"2022-01-11 12:06:54","2022-01-11 12:06:53",alula-lr6m2,N/A,88.00,22.00,83.00,25.00,N/A,76.00,26.00,11Jan2022_afternoon
"2022-01-11 12:27:55","2022-01-11 12:27:54",duple-qy58f,N/A,92.00,18.00,32.00,79.00,N/A,76.00,15.00,QRcodeTest_Android
"2022-01-11 12:29:02","2022-01-11 12:29:01",duple-qy58f,N/A,83.00,19.00,78.00,20.00,N/A,81.00,20.00,QRcodeTest_Android
"2022-01-11 12:34:28","2022-01-11 12:34:28",guru-ih8kj,NA,76.91,8.36,76.20,20.40,NA,75.64,18.56,QRcodeTest_iOS
"2022-01-11 12:43:40","2022-01-11 12:43:40",duple-qy58f,N/A,88.00,25.00,22.00,21.00,N/A,79.00,23.00,QRcodeTest_Android
"2022-01-11 12:48:28","2022-01-11 12:48:28",left-rt43f,N/A,17.00,85.00,75.00,96.00,N/A,20.00,83.00,newID_11Jan2022
"2022-01-11 12:50:01","2022-01-11 12:50:00",shog-l49c4,N/A,22.00,20.00,24.00,26.00,N/A,19.00,18.00,QRcodeTest_Android
"2022-01-11 12:57:50","2022-01-11 12:57:50",arcs-6gr8o,N/A,84.00,N/A,56.00,33.00,N/A,82.00,30.00,QRcodeTest_iOS
"2022-01-11 13:11:33","2022-01-11 13:11:32",dwine-h8729,N/A,19.00,86.00,19.00,21.00,N/A,N/A,78.00,QRcodeTest_Android
"2022-01-12 06:43:51","2022-01-12 06:43:51",mams-k9x34,N/A,75.00,22.00,82.00,27.00,N/A,100.00,0.00,QRcodeTest_Android
"2022-01-12 08:08:40","2022-01-12 08:08:40",doby-0a9x0,NA,19.41,86.54,86.83,14.87,NA,84.99,N/A,QRcodeTest_iOS
"2022-01-13 14:30:19","2022-01-13 14:30:19",banco-n2k3n,N/A,84.00,23.00,80.00,24.00,N/A,80.00,23.00,QRcodeTest_iOS
"2022-01-17 11:58:44","2022-01-17 11:58:43",horn-cj28g,N/A,78.00,26.00,81.00,23.00,N/A,81.00,20.00,17Jan2022-update
"2022-01-17 14:22:49","2022-01-17 14:22:49",ceili-pw0jk,NA,81.59,23.65,78.75,22.80,NA,75.21,87.96,"iOS_17Jan2022_updated, iOS_data_check, schedule_check_iOS"
"2022-01-17 14:48:16","2022-01-17 14:48:15",ceili-pw0jk,NA,N/A,50.00,0.00,100.00,NA,38.39,70.40,"iOS_17Jan2022_updated, iOS_data_check, schedule_check_iOS"
"2022-01-17 14:48:16","2022-01-17 14:48:15",blae-9rj3f,N/A,N/A,50.00,0.00,100.00,N/A,36.00,73.00,Android_data_check
"2022-01-18 08:03:16","2022-01-18 08:03:16",curdy-ls0rn,NA,19.83,85.41,20.82,81.59,NA,77.20,0.00,tired_iOS
"2022-01-18 08:04:48","2022-01-18 08:04:47",gush-wv4rx,N/A,12.00,85.00,14.00,25.00,N/A,89.00,90.00,no_scheduler_check
"2022-01-18 09:01:29","2022-01-18 09:01:29",frug-xl3j7,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,iOS_18Jan2022
"2022-01-18 09:01:57","2022-01-18 09:01:56",frug-xl3j7,NA,17.42,74.22,22.10,69.83,NA,26.20,72.24,iOS_18Jan2022
"2022-01-18 19:02:29","2022-01-18 19:02:27",idol-pp00v,N/A,N/A,N/A,N/A,26.00,N/A,96.00,19.00,Android_18Jan2022
"2022-01-19 06:38:14","2022-01-19 06:38:13",idol-pp00v,N/A,85.00,23.00,85.00,27.00,N/A,82.00,96.00,Android_18Jan2022
"2022-01-19 07:12:49","2022-01-19 07:12:49",frug-xl3j7,NA,15.44,80.31,15.01,88.24,NA,13.74,82.44,iOS_18Jan2022
"2022-01-19 07:31:28","2022-01-19 07:31:28",char-w1s9d,NA,19.84,74.65,20.31,100.00,NA,22.05,77.32,"iOS_15Nov2021, iOS_19Jan2022"
"2022-01-19 08:23:42","2022-01-19 08:23:42",ajuga-l8j90,NA,81.26,9.13,80.79,11.65,NA,49.92,17.01,iPhone7_19Jan2022
"2022-01-19 08:26:02","2022-01-19 08:26:01",fend-6lh42,N/A,20.00,73.00,12.00,68.00,N/A,22.00,66.00,miA2_19Jan2022a
